t,container,cpu_pct,mem_mb
1786695653.7,k8s_autoscaler_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_4,0.0,56.296875
1786695653.7,k8s_POD_net-kourier-controller-769cd4d84c-mpvj4_knative-serving_a859182b-3989-44e1-8ad7-068a1efe2192_4,0.0,0.34375
1786695653.7,k8s_POD_autoscaler-847d45f498-rkvpp_knative-serving_ec82673b-6dc8-472a-9e8a-04e02f65f117_4,0.0,0.34375
1786695653.7,k8s_POD_metrics-server-6dc596dfb8-46tvx_kube-system_b8abf359-78cf-46b7-afb3-a3cf654e93c0_8,0.0,0.34375
1786695653.7,k8s_lb-tcp-443_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_4,0.0,0.3203125
1786695653.7,k8s_lb-tcp-80_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_4,0.0,2.44140625
1786695653.7,k8s_coredns_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_4,0.0,68.20703125
1786695653.7,k8s_kourier-gateway_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_4,0.31580400887866666,71.0859375
1786695653.7,k8s_activator_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_4,0.0,59.359375
1786695653.7,k8s_POD_webhook-7d56465b69-khwt8_knative-serving_a7b84bd9-4373-4bbe-843a-0e2fb9c788d8_5,0.0,0.33984375
1786695653.7,k8s_POD_svclb-kourier-32c17a7b-g99k6_kube-system_12a61aac-14f5-4323-985c-bfa66cd375ba_4,0.0,0.34375
1786695653.7,k8s_POD_coredns-54996dc9b4-94zpj_kube-system_86f4a07b-00d4-46a7-a1a6-6f878fb26856_7,0.0,0.34375
1786695653.7,k8s_POD_controller-c9767f9c-h8zvb_knative-serving_9a5a04d4-1393-48b2-b655-088fcff5b337_4,0.0,0.33984375
1786695653.7,k8s_POD_3scale-kourier-gateway-d95dfffb6-z2zzz_kourier-system_69daf3cc-53df-449a-ba4e-12ca3f124bf1_4,0.0,0.34375
1786695653.7,k8s_POD_activator-67cbcccdfb-t6cg7_knative-serving_af70f812-f578-45d9-aafe-c711ea35ebd4_4,0.0,1.046875
1786695653.71,hello.11.wbpcped4o6gnn2ppql94dnfod,0.0,20.39453125
1786695653.71,hello.15.39s21r4a4ldhu5h47rxibhsn9,0.0,20.515625
1786695653.71,hello.6.6becjyk55caev3v1qegkoisfz,0.0,20.35546875
1786695653.71,hello.7.gbwf35but7yv5hedjya3es0vy,0.0,20.53515625
1786695653.71,hello.9.ji0flgjno5fcei3wvdaq8ostu,0.0,20.609375
1786695653.71,hello.2.w97q3lmykm2r6zljqezjyb3kq,0.0,20.3828125
1786695653.71,hello.4.whb01ns0nuajgv5c5j4t0fwwm,0.0,21.078125
1786695653.71,hello.13.xi4sspli4mgom5fc0eydmcnkp,0.0,20.5546875
1786695653.71,hello.10.w2qnaeeqwxdla966boy4o5mr4,0.0,20.42578125
1786695653.71,hello.8.w455zodw9xudm4rb1k8z7dpo8,0.0,20.46875
1786695653.71,hello.14.iqwfflsyry3854jxxuxnofmvg,0.0,20.7421875
