t,container,cpu_pct,mem_mb
1785958195.24,openfaas_nats.1.ac3cwz41rhuv5ywlatrp8n13c,0.0,6.24609375
1785958195.25,hello.3.z1orjczuqjdvfr0p29r5jkfyv,0.0,15.69140625
1785958195.25,hello.2.5vsygxe1z2o1zi9rjrk5n4s3t,0.0,15.859375
1785958195.25,hello.4.t74fi7iu8zuosvmqzt2kuo65f,0.0,15.83984375
1785958195.25,hello.1.z9801rktujzz9jl7u46of5vog,0.0,15.51953125
1785958195.25,openfaas_faas-swarm.1.xc47l2903ls966opz5ku3uioc,0.0,5.30078125
1785958195.25,openfaas_gateway.1.1h77cgxs22gz1hkuyzn0xt17a,0.0,5.28515625
1785958195.25,openfaas_alertmanager.1.wqtbthijzyvt0j0mrpc6st5dy,0.0,9.63671875
1785958195.25,openfaas_prometheus.1.wijrn8ld2zvdrqsk98dmzu7cp,0.0,23.0703125
1785958195.25,openfaas_queue-worker.1.w5uzs64sf8tbrymxhjubj5brq,0.0,1.7265625
1785958195.25,openfaas_nats.1.ac3cwz41rhuv5ywlatrp8n13c,0.0,6.24609375
1785958195.26,hello.3.z1orjczuqjdvfr0p29r5jkfyv,0.0,15.69140625
1785958195.26,hello.2.5vsygxe1z2o1zi9rjrk5n4s3t,0.0,15.859375
1785958195.26,hello.4.t74fi7iu8zuosvmqzt2kuo65f,0.0,15.83984375
1785958195.26,hello.1.z9801rktujzz9jl7u46of5vog,0.0,15.51953125
1785958195.26,openfaas_faas-swarm.1.xc47l2903ls966opz5ku3uioc,0.0,5.30078125
1785958195.26,openfaas_gateway.1.1h77cgxs22gz1hkuyzn0xt17a,0.0,5.28515625
1785958195.26,openfaas_alertmanager.1.wqtbthijzyvt0j0mrpc6st5dy,0.5967910021004843,9.63671875
1785958195.26,openfaas_prometheus.1.wijrn8ld2zvdrqsk98dmzu7cp,0.0,23.0703125
1785958195.26,openfaas_queue-worker.1.w5uzs64sf8tbrymxhjubj5brq,0.0,1.7265625
1785958195.26,openfaas_nats.1.ac3cwz41rhuv5ywlatrp8n13c,0.0,6.24609375
1785958195.27,hello.3.z1orjczuqjdvfr0p29r5jkfyv,0.0,15.69140625
1785958195.27,hello.2.5vsygxe1z2o1zi9rjrk5n4s3t,0.0,15.859375
1785958195.27,hello.4.t74fi7iu8zuosvmqzt2kuo65f,0.0,15.6875
1785958195.27,hello.1.z9801rktujzz9jl7u46of5vog,0.0,15.51953125
1785958195.27,openfaas_faas-swarm.1.xc47l2903ls966opz5ku3uioc,0.0,5.30078125
1785958195.27,openfaas_gateway.1.1h77cgxs22gz1hkuyzn0xt17a,0.0,5.28515625
1785958195.27,openfaas_alertmanager.1.wqtbthijzyvt0j0mrpc6st5dy,0.0,9.63671875
1785958195.27,openfaas_prometheus.1.wijrn8ld2zvdrqsk98dmzu7cp,0.0,23.0703125
1785958195.27,openfaas_queue-worker.1.w5uzs64sf8tbrymxhjubj5brq,0.0,1.7265625
1785958195.27,openfaas_nats.1.ac3cwz41rhuv5ywlatrp8n13c,0.0,6.24609375
1785958195.28,hello.3.z1orjczuqjdvfr0p29r5jkfyv,0.0,15.69140625
